Player,POS_prefix,RUSHING_ATT,RUSHING_YDS,RUSHING_TDS,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TDS,TOT_TDS,FPTS,FPTS_BIN,RECEIVING_REC_BIN,TOT_TDS_BIN
Mike Gesicki CIN,TE,0.0,0.0,0.0,50.8,501.3,3.4,3.4,120.6,100-124,50-59,0-4
Mason Taylor NYJ,TE,0.0,0.0,0.0,51.5,518.0,3.0,3.0,119.7,100-124,50-59,0-4
Cam Skattebo NYG,RB,122.3,523.4,3.5,23.8,185.0,1.0,4.5,118.7,100-124,20-29,0-4
Pat Freiermuth PIT,TE,0.0,0.0,0.0,50.9,488.4,3.4,3.4,118.3,100-124,50-59,0-4
Quinshon Judkins CLE,RB,127.0,543.7,3.6,21.7,168.3,0.9,4.5,117.8,100-124,20-29,0-4
Dalton Schultz HOU,TE,0.0,0.0,0.0,48.8,503.8,3.2,3.2,117.4,100-124,40-49,0-4
Calvin Austin III PIT,WR,2.3,11.8,0.1,41.0,547.6,3.5,3.6,117.0,100-124,40-49,0-4
Adam Thielen MIN,WR,0.0,1.3,0.0,43.4,485.7,4.0,4.0,114.9,100-124,40-49,0-4
Dylan Sampson CLE,RB,125.0,518.5,3.0,22.8,178.6,0.9,3.9,114.8,100-124,20-29,0-4
Juwan Johnson NO,TE,0.0,0.0,0.0,47.0,486.4,3.2,3.2,114.4,100-124,40-49,0-4
Tre Harris LAC,WR,0.7,3.8,0.0,40.6,542.4,3.4,3.4,114.3,100-124,40-49,0-4
Theo Johnson NYG,TE,0.0,0.0,0.0,46.5,507.7,2.8,2.8,113.8,100-124,40-49,0-4
Isaiah Likely BAL,TE,0.0,0.0,0.0,39.5,468.3,4.6,4.6,112.7,100-124,30-39,0-4
Jaydon Blue DAL,RB,113.8,496.2,3.1,22.9,176.6,0.9,4.0,112.2,100-124,20-29,0-4
Trey Benson ARI,RB,129.4,581.4,3.8,16.5,125.8,0.5,4.3,111.4,100-124,10-19,0-4
Nick Chubb HOU,RB,133.6,565.8,4.8,11.9,90.7,1.0,5.8,110.7,100-124,10-19,5-9
Ray-Ray McCloud III ATL,WR,7.8,53.0,0.2,43.2,475.4,2.6,2.8000000000000003,109.9,100-124,40-49,0-4
Tyler Higbee LAR,TE,0.0,0.0,0.0,45.2,423.9,3.7,3.7,109.3,100-124,40-49,0-4
Tank Bigsby PHI,RB,150.5,618.7,5.0,10.6,76.9,0.2,5.2,109.0,100-124,10-19,5-9
Tutu Atwell LAR,WR,4.3,20.2,0.1,39.9,507.9,2.2,2.3000000000000003,106.3,100-124,30-39,0-4
Alec Pierce IND,WR,0.0,0.0,0.0,31.1,536.5,3.5,3.5,105.4,100-124,30-39,0-4
Darius Slayton NYG,WR,1.4,6.4,0.0,35.5,534.3,2.5,2.5,104.7,100-124,30-39,0-4
Najee Harris LAC,RB,124.6,484.2,3.8,17.7,130.0,0.7,4.5,104.6,100-124,10-19,0-4
Josh Reynolds NYJ,WR,0.0,0.0,0.0,37.1,483.7,3.2,3.2,104.5,100-124,30-39,0-4
Quentin Johnston LAC,WR,1.7,7.3,0.0,34.4,452.0,4.1,4.1,104.2,100-124,30-39,0-4
Tyjae Spears TEN,RB,83.1,335.3,2.5,28.4,212.0,1.0,3.5,103.3,100-124,20-29,0-4
Ja'Tavion Sanders CAR,TE,0.0,0.0,0.0,44.2,442.4,2.4,2.4,102.8,100-124,40-49,0-4
DeAndre Hopkins BAL,WR,0.0,0.5,0.0,34.1,434.5,4.2,4.2,102.3,100-124,30-39,0-4
Jalen Coker CAR,WR,0.0,2.3,0.0,38.9,487.9,2.4,2.4,102.2,100-124,30-39,0-4
Tyler Allgeier ATL,RB,121.3,555.1,3.3,13.8,102.1,0.4,3.6999999999999997,100.2,100-124,10-19,0-4
Bhayshul Tuten JAC,RB,106.6,448.9,3.1,18.5,145.1,0.9,4.0,99.8,75-99,10-19,0-4
